date,title,read_count
2023-10-10,股友1329071yA9,510
2023-10-10,决战赛力斯,630
2023-10-10,这架势必超预期高点。,750
2023-10-10,一堆没票的人在那骂，你就骂吧哈哈，气死你，踏空舒服不哈哈,850
2023-10-10,恭喜买入TYTX的朋友，另外提醒通化金马的朋友注意我说的三个目标位，赛力斯注意反,1
2023-10-10,韩国：同意三星和SK海力士向其中国工厂提供设备9日，韩国：同意三星电子和SK海力,12792
2023-10-10,恭喜恭喜，赛力斯重回千亿市值，去年被水军搞得差点倒闭，顶住压力，做好质量，遥遥领,1580
2023-10-10,吃完华映来吃赛力斯,610
2023-10-10,弱弱问一句，如果我们小散足够多，大家齐心，机构出多少我们吃多少，一直往上拉，会不,640
2023-10-10,懂得理财地扫地僧,580
2023-10-10,搞成了华为龙一了,700
2023-10-10,想不能让我进入百万俱乐部就靠你了,830
2023-10-10,看那筹码多稳[大笑]百元不是梦,1130
2023-10-10,别问，问就是遥遥领先,640
2023-10-10,就你和两个人在拉，能拉动？哈哈哈哈哈，拉肚子吧,890
2023-10-10,太强了真是搭上华为就起飞,730
2023-10-10,翻倍啊，150块,800
2023-10-10,守得云开见天明,1510
2023-10-10,我们员工终于赚钱了,590
2023-10-10,遥遥领先，而且拥破天。[大笑][大笑][大笑][大笑],800
2023-10-10,ZS333666999,490
2023-10-10,连续扣非5年6年亏损，股价翻了几十倍，我们大a就是牛，垃圾股才涨，绩优股才跌[捂,1111
2023-10-10,股市总要有个突破口，要不然死气沉沉的。,790
2023-10-10,大盘底部筑底，市场启动华为概念，此起彼伏！近期，重点关注华为概念、军工、能源类个,951
2023-10-10,牛市棋手来了，进就对了,800
2023-10-10,又涨停了，能封住不？气人不,750
2023-10-10,基民SEs0F7,881
2023-10-10,大牛市华为汽车、消费电子产业链第2大波演员：赛力斯、圣龙、欧菲光、宝馨，第1大！,600
2023-10-10,股友I876182V88,911
2023-10-10,第三波上涨，今日洗盘横盘开始,374368
2023-10-10,明天还能来一个涨停板。赶了个末班车,840
2023-10-10,中国塞利斯就是前期的越南，特斯拉暴涨暴跌，韭菜蛮好玩啊，不要同情这些人,1371
2023-10-10,节前卖了，我的牙好酸[哭],700
2023-10-10,尊重走势，不能因为自己没买上而气急败坏，也不要因为自己持仓而盲目乐观，保持良好的,1140
2023-10-10,一个亏损的垃圾股，被吵翻天，等裸奔后一地鸡毛最后还是投资者买单。,1112
2023-10-10,没敢做T。怕T飞咯，,780
2023-10-10,大牛市华为汽车、消费电子产业链第2大波演员：赛力斯、圣龙股份、欧菲光，第1大！！,730
2023-10-10,发财88886666,880
